,zip,walkscore,state,county,area_codes,country,latitude,longitude,irs_estimated_population
12040,28401,0,NC,New Hanover County,"472, 910",US,34.27,-77.96,16920
12042,28403,40,NC,New Hanover County,"472, 910",US,34.21,-77.91,24570
12044,28405,53,NC,New Hanover County,"472, 910",US,34.26,-77.87,28020
12048,28409,17,NC,New Hanover County,"472, 910",US,34.15,-77.86,32890
12050,28411,11,NC,New Hanover County,"472, 910",US,34.3,-77.79,35730
12051,28412,4,NC,New Hanover County,"472, 910",US,34.14,-77.93,38450
12052,28420,0,NC,Brunswick County,"472, 910",US,34.07,-78.47,2990
12053,28421,9,NC,Pender County,"472, 910",US,34.52,-78.17,1270
12054,28422,0,NC,Brunswick County,"472, 910",US,34.07,-78.14,7890
12055,28423,0,NC,Columbus County,"472, 910",US,34.31,-78.4,1600
12057,28425,0,NC,Pender County,"472, 910",US,34.55,-77.92,8710
12058,28428,3,NC,New Hanover County,"472, 910",US,34.04,-77.89,6410
12059,28429,1,NC,New Hanover County,"472, 910",US,34.35,-77.9,7790
12060,28430,0,NC,Columbus County,"472, 910",US,34.32,-78.92,1460
12061,28431,1,NC,Columbus County,"472, 910",US,34.32,-78.82,5360
12062,28432,0,NC,Columbus County,"472, 910",US,34.17,-78.76,1670
12063,28433,0,NC,Bladen County,"472, 910",US,34.48,-78.65,3720
12064,28434,0,NC,Bladen County,"472, 910",US,34.42,-78.46,810
12065,28435,0,NC,Pender County,"472, 910",US,34.46,-78.1,1930
12066,28436,4,NC,Columbus County,"472, 910",US,34.28,-78.27,1780
12067,28438,1,NC,Columbus County,"472, 910",US,34.4,-78.9,1380
12068,28439,0,NC,Columbus County,"472, 843, 854, 910",US,34.31,-79.03,980
12069,28441,0,NC,Sampson County,"472, 910",US,34.78,-78.39,2670
12070,28442,0,NC,Columbus County,"472, 910",US,34.29,-78.59,1200
12071,28443,0,NC,Pender County,"472, 910",US,34.36,-77.71,25610
12072,28444,3,NC,Sampson County,"472, 910",US,34.72,-78.2,1800
12073,28445,0,NC,Onslow County,"472, 910",US,34.49,-77.55,9940
12074,28447,0,NC,Sampson County,"472, 910",US,34.6,-78.25,1030
12075,28448,0,NC,Bladen County,"472, 910",US,34.46,-78.32,740
12076,28449,2,NC,New Hanover County,"472, 910",US,33.99,-77.91,1870
12077,28450,4,NC,Columbus County,"472, 910",US,34.31,-78.51,1860
12078,28451,1,NC,Brunswick County,"472, 910",US,34.24,-78,38960
12079,28452,9,NC,Brunswick County,"472, 910",US,34,-78.54,570
12080,28453,0,NC,Duplin County,"472, 910",US,34.89,-78.05,3040
12081,28454,0,NC,Onslow County,"472, 910",US,34.66,-77.69,2800
12082,28455,0,NC,Columbus County,"472, 910",US,34.13,-78.66,1460
12083,28456,10,NC,Columbus County,"472, 910",US,34.34,-78.26,2900
12084,28457,0,NC,Pender County,"472, 910",US,34.43,-77.88,10580
12085,28458,0,NC,Duplin County,"472, 910",US,34.82,-78.02,4780
12087,28460,0,NC,Onslow County,"472, 910",US,34.55,-77.37,12530
12088,28461,1,NC,Brunswick County,"472, 910",US,33.92,-78.02,21490
12089,28462,0,NC,Brunswick County,"472, 910",US,34.01,-78.26,11010
12090,28463,0,NC,Columbus County,"472, 843, 854, 910",US,34.14,-78.87,5830
12091,28464,0,NC,Duplin County,"472, 910",US,34.78,-78.02,1960
12092,28465,29,NC,Brunswick County,"472, 910",US,33.91,-78.1,7660
12093,28466,3,NC,Duplin County,"472, 910",US,34.73,-77.99,7650
12094,28467,17,NC,Brunswick County,"472, 843, 854, 910",US,33.89,-78.57,10950
12095,28468,22,NC,Brunswick County,"472, 843, 854, 910",US,33.87,-78.51,4970
12096,28469,1,NC,Brunswick County,"472, 910",US,33.93,-78.47,8570
12097,28470,36,NC,Brunswick County,"472, 910",US,33.95,-78.39,9050
12098,28472,0,NC,Columbus County,"472, 910",US,34.32,-78.7,13980
12099,28478,1,NC,Pender County,"472, 910",US,34.69,-77.98,3850
12100,28479,0,NC,Brunswick County,"472, 910",US,34.1,-78.02,6360
12101,28480,32,NC,New Hanover County,"472, 910",US,34.23,-77.8,2350
12102,28501,0,NC,Lenoir County,252,US,35.27,-77.59,13810
12105,28504,1,NC,Lenoir County,252,US,35.22,-77.63,17030
12106,28508,2,NC,Duplin County,"252, 472, 910, 919, 984",US,35.11,-77.85,1910
12108,28510,0,NC,Pamlico County,252,US,35.01,-76.82,1340
12109,28511,8,NC,Carteret County,252,US,34.89,-76.33,480
12110,28512,2,NC,Carteret County,252,US,34.7,-76.73,3060
12111,28513,0,NC,Pitt County,252,US,35.47,-77.42,8630
12112,28515,0,NC,Pamlico County,252,US,35.18,-76.7,1770
12113,28516,0,NC,Carteret County,252,US,34.72,-76.65,9420
12114,28518,3,NC,Duplin County,"472, 910",US,34.92,-77.77,6960
12116,28520,0,NC,Carteret County,252,US,35,-76.32,220
12117,28521,0,NC,Duplin County,"472, 910",US,34.82,-77.74,1780
12119,28523,0,NC,Craven County,252,US,35.18,-77.32,2130
12120,28524,0,NC,Carteret County,252,US,34.79,-76.47,280
12121,28525,0,NC,Lenoir County,252,US,35.15,-77.69,2810
12122,28526,0,NC,Craven County,252,US,35.21,-77.43,1920
12123,28527,0,NC,Craven County,252,US,35.29,-77.03,1110
12124,28528,5,NC,Carteret County,252,US,34.72,-76.54,500
12125,28529,3,NC,Pamlico County,252,US,35.07,-76.85,1760
12126,28530,0,NC,Pitt County,252,US,35.37,-77.43,6050
12127,28531,4,NC,Carteret County,252,US,34.69,-76.55,1080
12128,28532,3,NC,Craven County,252,US,34.9,-76.89,19110
12129,28533,3,NC,Craven County,252,US,34.9,-76.9,2306
12130,28537,0,NC,Pamlico County,252,US,35.26,-76.56,141
12131,28538,3,NC,Greene County,252,US,35.42,-77.58,2000
12132,28539,3,NC,Onslow County,"472, 910",US,34.66,-77.23,16280
12133,28540,0,NC,Onslow County,"472, 910",US,34.76,-77.4,42420
12136,28543,21,NC,Onslow County,"472, 910",US,34.73,-77.37,3750
12137,28544,0,NC,Onslow County,"472, 910",US,34.7,-77.29,4290
12138,28545,11,NC,Onslow County,910,US,34.67,-77.52,1177
12139,28546,3,NC,Onslow County,"472, 910",US,34.8,-77.36,43930
12140,28547,2,NC,Onslow County,"252, 472, 910",US,34.68,-77.34,6590
12141,28551,0,NC,Lenoir County,"252, 919, 984",US,35.3,-77.78,11620
12142,28552,0,NC,Pamlico County,252,US,35.3,-76.57,152
12143,28553,0,NC,Carteret County,252,US,34.73,-76.51,350
12145,28555,0,NC,Onslow County,"252, 472, 910",US,34.9,-77.23,4840
12146,28556,0,NC,Pamlico County,252,US,35.11,-76.69,730
12147,28557,7,NC,Carteret County,252,US,34.72,-76.73,13110
12148,28560,0,NC,Craven County,252,US,35.11,-77.07,23910
12150,28562,0,NC,Craven County,252,US,35.08,-77.13,35900
12153,28570,12,NC,Carteret County,252,US,34.78,-76.86,19210
12154,28571,0,NC,Pamlico County,252,US,35.03,-76.68,2360
12155,28572,0,NC,Duplin County,"252, 472, 910, 919, 984",US,35.05,-77.74,5450
12156,28573,0,NC,Jones County,"252, 472, 910",US,35,-77.22,1880
12157,28574,3,NC,Onslow County,"252, 472, 910",US,34.89,-77.54,17080
12159,28577,1,NC,Carteret County,252,US,34.89,-76.39,210
12160,28578,0,NC,Wayne County,"252, 919, 984",US,35.22,-77.84,4980
12161,28579,8,NC,Carteret County,252,US,34.76,-76.51,480
12162,28580,1,NC,Greene County,252,US,35.45,-77.67,8090
12163,28581,0,NC,Carteret County,252,US,34.85,-76.41,170
12164,28582,0,NC,Carteret County,"252, 472, 910",US,34.77,-77.12,2010
12166,28584,0,NC,Carteret County,"252, 472, 910",US,34.69,-77.12,13010
12167,28585,0,NC,Jones County,"252, 472, 910",US,35.06,-77.35,2980
12168,28586,4,NC,Craven County,252,US,35.3,-77.15,6070
12169,28587,0,NC,Pamlico County,252,US,35.18,-76.66,180
12171,28590,0,NC,Pitt County,252,US,35.52,-77.39,26660
12172,28594,3,NC,Carteret County,"252, 472, 910",US,34.69,-76.97,4260
12173,28601,55,NC,Catawba County,828,US,35.77,-81.33,45790
12174,28602,0,NC,Catawba County,"704, 828, 980",US,35.73,-81.32,24840
12176,28604,0,NC,Watauga County,828,US,36.16,-81.87,5560
12177,28605,1,NC,Watauga County,828,US,36.12,-81.67,3610
12178,28606,0,NC,Wilkes County,"336, 743, 828",US,36.05,-81.32,1710
12179,28607,5,NC,Watauga County,"336, 743, 828",US,36.2,-81.66,19560
12181,28609,0,NC,Catawba County,"704, 828, 980",US,35.7,-81.07,5600
12182,28610,3,NC,Catawba County,"704, 828, 980",US,35.71,-81.15,8990
12183,28611,0,NC,Caldwell County,828,US,36.01,-81.74,530
12184,28612,1,NC,Burke County,"704, 828, 980",US,35.65,-81.54,9510
12185,28613,3,NC,Catawba County,828,US,35.7,-81.21,20910
12186,28615,0,NC,Ashe County,"276, 336, 423, 743",US,36.44,-81.65,1440
12188,28617,0,NC,Ashe County,"336, 743",US,36.47,-81.37,1850
12189,28618,0,NC,Watauga County,"336, 743, 828",US,36.23,-81.51,2050
12191,28621,3,NC,Surry County,"336, 743",US,36.25,-80.84,8300
12192,28622,0,NC,Avery County,"423, 828",US,36.15,-81.98,1870
12193,28623,0,NC,Alleghany County,"276, 336, 743",US,36.55,-81,1400
12194,28624,0,NC,Wilkes County,"336, 743, 828",US,36.13,-81.41,1260
12195,28625,1,NC,Iredell County,"336, 704, 743, 828, 980",US,35.87,-80.89,34320
12196,28626,6,NC,Ashe County,"336, 743, 828",US,36.3,-81.51,2140
12197,28627,3,NC,Alleghany County,"336, 743",US,36.48,-81.05,1110
